Country,Country_Code,Year,Gini,Region
Albania,ALB,2020,29.4,Europe & Central Asia
Albania,ALB,2019,30.1,Europe & Central Asia
Albania,ALB,2018,30.1,Europe & Central Asia
Albania,ALB,2017,33.1,Europe & Central Asia
Albania,ALB,2016,33.7,Europe & Central Asia
Albania,ALB,2015,32.8,Europe & Central Asia
Albania,ALB,2014,34.6,Europe & Central Asia
Albania,ALB,2012,29.0,Europe & Central Asia
Albania,ALB,2008,30.0,Europe & Central Asia
Albania,ALB,2005,30.6,Europe & Central Asia
Albania,ALB,2002,31.7,Europe & Central Asia
Albania,ALB,1996,27.0,Europe & Central Asia
Algeria,DZA,2011,27.6,"Middle East, North Africa, Afghanistan & Pakistan"
Algeria,DZA,1995,35.3,"Middle East, North Africa, Afghanistan & Pakistan"
Algeria,DZA,1988,37.4,"Middle East, North Africa, Afghanistan & Pakistan"
Angola,AGO,2018,51.3,Sub-Saharan Africa 
Angola,AGO,2008,42.7,Sub-Saharan Africa 
Angola,AGO,2000,51.9,Sub-Saharan Africa 
Argentina,ARG,2024,42.4,Latin America & Caribbean 
Argentina,ARG,2023,42.4,Latin America & Caribbean 
Argentina,ARG,2022,40.7,Latin America & Caribbean 
Argentina,ARG,2021,42.4,Latin America & Caribbean 
Argentina,ARG,2020,42.7,Latin America & Caribbean 
Argentina,ARG,2019,43.3,Latin America & Caribbean 
Argentina,ARG,2018,41.7,Latin America & Caribbean 
Argentina,ARG,2017,41.4,Latin America & Caribbean 
Argentina,ARG,2016,42.3,Latin America & Caribbean 
Argentina,ARG,2014,41.8,Latin America & Caribbean 
Argentina,ARG,2013,41.1,Latin America & Caribbean 
Argentina,ARG,2012,41.4,Latin America & Caribbean 
Argentina,ARG,2011,42.7,Latin America & Caribbean 
Argentina,ARG,2010,43.7,Latin America & Caribbean 
Argentina,ARG,2009,43.8,Latin America & Caribbean 
Argentina,ARG,2008,45.0,Latin America & Caribbean 
Argentina,ARG,2007,46.3,Latin America & Caribbean 
Argentina,ARG,2006,46.4,Latin America & Caribbean 
Argentina,ARG,2005,47.8,Latin America & Caribbean 
Argentina,ARG,2004,48.5,Latin America & Caribbean 
Argentina,ARG,2003,51.0,Latin America & Caribbean 
Argentina,ARG,2002,53.8,Latin America & Caribbean 
Argentina,ARG,2001,53.3,Latin America & Caribbean 
Argentina,ARG,2000,51.0,Latin America & Caribbean 
Argentina,ARG,1999,49.8,Latin America & Caribbean 
Argentina,ARG,1998,50.7,Latin America & Caribbean 
Argentina,ARG,1997,49.1,Latin America & Caribbean 
Argentina,ARG,1996,49.5,Latin America & Caribbean 
Argentina,ARG,1995,48.9,Latin America & Caribbean 
Argentina,ARG,1994,45.9,Latin America & Caribbean 
Argentina,ARG,1993,44.8,Latin America & Caribbean 
Argentina,ARG,1992,45.5,Latin America & Caribbean 
Argentina,ARG,1991,46.8,Latin America & Caribbean 
Argentina,ARG,1987,45.3,Latin America & Caribbean 
Argentina,ARG,1986,42.8,Latin America & Caribbean 
Argentina,ARG,1980,40.8,Latin America & Caribbean 
Armenia,ARM,2024,27.4,Europe & Central Asia
Armenia,ARM,2023,27.2,Europe & Central Asia
Armenia,ARM,2022,27.9,Europe & Central Asia
Armenia,ARM,2021,27.9,Europe & Central Asia
Armenia,ARM,2020,25.1,Europe & Central Asia
Armenia,ARM,2019,30.0,Europe & Central Asia
Armenia,ARM,2018,34.4,Europe & Central Asia
Armenia,ARM,2017,33.6,Europe & Central Asia
Armenia,ARM,2016,32.5,Europe & Central Asia
Armenia,ARM,2015,32.4,Europe & Central Asia
Armenia,ARM,2014,31.5,Europe & Central Asia
Armenia,ARM,2013,30.6,Europe & Central Asia
Armenia,ARM,2012,29.6,Europe & Central Asia
Armenia,ARM,2011,29.4,Europe & Central Asia
Armenia,ARM,2010,30.0,Europe & Central Asia
Armenia,ARM,2009,28.0,Europe & Central Asia
Armenia,ARM,2008,29.2,Europe & Central Asia
Armenia,ARM,2007,31.2,Europe & Central Asia
Armenia,ARM,2006,29.7,Europe & Central Asia
Armenia,ARM,2005,36.0,Europe & Central Asia
Armenia,ARM,2004,37.5,Europe & Central Asia
Armenia,ARM,2003,33.0,Europe & Central Asia
Armenia,ARM,2002,34.8,Europe & Central Asia
Armenia,ARM,2001,35.4,Europe & Central Asia
Armenia,ARM,1999,36.2,Europe & Central Asia
Armenia,ARM,1996,44.4,Europe & Central Asia
Australia,AUS,2020,33.8,East Asia & Pacific
Australia,AUS,2018,34.3,East Asia & Pacific
Australia,AUS,2016,33.7,East Asia & Pacific
Australia,AUS,2014,34.4,East Asia & Pacific
Australia,AUS,2010,34.7,East Asia & Pacific
Australia,AUS,2008,35.4,East Asia & Pacific
Australia,AUS,2004,33.1,East Asia & Pacific
Australia,AUS,2003,33.5,East Asia & Pacific
Australia,AUS,2001,33.5,East Asia & Pacific
Australia,AUS,1995,32.6,East Asia & Pacific
Australia,AUS,1989,33.2,East Asia & Pacific
Australia,AUS,1985,32.5,East Asia & Pacific
Australia,AUS,1981,31.3,East Asia & Pacific
Austria,AUT,2023,31.2,Europe & Central Asia
Austria,AUT,2022,30.9,Europe & Central Asia
Austria,AUT,2021,30.7,Europe & Central Asia
Austria,AUT,2020,29.8,Europe & Central Asia
Austria,AUT,2019,30.2,Europe & Central Asia
Austria,AUT,2018,30.8,Europe & Central Asia
Austria,AUT,2017,29.7,Europe & Central Asia
Austria,AUT,2016,30.8,Europe & Central Asia
Austria,AUT,2015,30.5,Europe & Central Asia
Austria,AUT,2014,30.5,Europe & Central Asia
Austria,AUT,2013,30.8,Europe & Central Asia
Austria,AUT,2012,30.5,Europe & Central Asia
Austria,AUT,2011,30.8,Europe & Central Asia
Austria,AUT,2010,30.3,Europe & Central Asia
Austria,AUT,2009,31.5,Europe & Central Asia
Austria,AUT,2008,30.4,Europe & Central Asia
Austria,AUT,2007,30.6,Europe & Central Asia
Austria,AUT,2006,29.6,Europe & Central Asia
Austria,AUT,2005,28.7,Europe & Central Asia
Austria,AUT,2004,29.8,Europe & Central Asia
Austria,AUT,2003,29.5,Europe & Central Asia
Austria,AUT,2000,29.0,Europe & Central Asia
Austria,AUT,1999,29.7,Europe & Central Asia
Austria,AUT,1998,31.3,Europe & Central Asia
Austria,AUT,1997,29.1,Europe & Central Asia
Austria,AUT,1996,29.3,Europe & Central Asia
Austria,AUT,1995,29.9,Europe & Central Asia
Austria,AUT,1994,30.8,Europe & Central Asia
Azerbaijan,AZE,2005,26.6,Europe & Central Asia
Azerbaijan,AZE,2004,26.6,Europe & Central Asia
Azerbaijan,AZE,2003,26.8,Europe & Central Asia
Azerbaijan,AZE,2002,25.3,Europe & Central Asia
Azerbaijan,AZE,2001,36.5,Europe & Central Asia
Azerbaijan,AZE,1995,34.6,Europe & Central Asia
Bangladesh,BGD,2022,30.9,South Asia
Bangladesh,BGD,2016,32.4,South Asia
Bangladesh,BGD,2010,32.1,South Asia
Bangladesh,BGD,2005,33.2,South Asia
Bangladesh,BGD,2000,33.4,South Asia
Bangladesh,BGD,1995,32.9,South Asia
Bangladesh,BGD,1991,27.6,South Asia
Bangladesh,BGD,1988,28.8,South Asia
Bangladesh,BGD,1985,26.9,South Asia
Bangladesh,BGD,1983,25.9,South Asia
Barbados,BRB,2016,34.1,Latin America & Caribbean 
Belarus,BLR,2020,24.4,Europe & Central Asia
Belarus,BLR,2019,25.3,Europe & Central Asia
Belarus,BLR,2018,25.2,Europe & Central Asia
Belarus,BLR,2017,25.4,Europe & Central Asia
Belarus,BLR,2016,25.3,Europe & Central Asia
Belarus,BLR,2015,25.6,Europe & Central Asia
Belarus,BLR,2014,27.2,Europe & Central Asia
Belarus,BLR,2013,26.6,Europe & Central Asia
Belarus,BLR,2012,26.5,Europe & Central Asia
Belarus,BLR,2011,27.2,Europe & Central Asia
Belarus,BLR,2010,28.6,Europe & Central Asia
Belarus,BLR,2009,27.7,Europe & Central Asia
Belarus,BLR,2008,27.8,Europe & Central Asia
Belarus,BLR,2007,29.6,Europe & Central Asia
Belarus,BLR,2006,28.3,Europe & Central Asia
Belarus,BLR,2005,27.6,Europe & Central Asia
Belarus,BLR,2004,26.5,Europe & Central Asia
Belarus,BLR,2003,28.8,Europe & Central Asia
Belarus,BLR,2002,30.3,Europe & Central Asia
Belarus,BLR,2001,30.6,Europe & Central Asia
Belarus,BLR,2000,31.2,Europe & Central Asia
Belarus,BLR,1999,31.7,Europe & Central Asia
Belarus,BLR,1998,32.0,Europe & Central Asia
Belarus,BLR,1995,28.7,Europe & Central Asia
Belarus,BLR,1993,21.6,Europe & Central Asia
Belgium,BEL,2023,26.8,Europe & Central Asia
Belgium,BEL,2022,26.4,Europe & Central Asia
Belgium,BEL,2021,26.6,Europe & Central Asia
Belgium,BEL,2020,26.0,Europe & Central Asia
Belgium,BEL,2019,27.2,Europe & Central Asia
Belgium,BEL,2018,27.2,Europe & Central Asia
Belgium,BEL,2017,27.4,Europe & Central Asia
Belgium,BEL,2016,27.6,Europe & Central Asia
Belgium,BEL,2015,27.7,Europe & Central Asia
Belgium,BEL,2014,28.1,Europe & Central Asia
Belgium,BEL,2013,27.7,Europe & Central Asia
