Country,Country_Code,Year,Gini,Region,GDP_per_capita,Population
Albania,ALB,1996,27.0,Europe & Central Asia,1020.97618050188,3168033.0
Albania,ALB,2002,31.7,Europe & Central Asia,1479.83884572006,3051010.0
Albania,ALB,2005,30.6,Europe & Central Asia,2741.72136549578,3011487.0
Albania,ALB,2008,30.0,Europe & Central Asia,4498.50486763601,2947314.0
Albania,ALB,2012,29.0,Europe & Central Asia,4280.93316338873,2860708.0
Albania,ALB,2014,34.6,Europe & Central Asia,4793.59751131525,2773767.0
Albania,ALB,2015,32.8,Europe & Central Asia,4199.53912925398,2731293.0
Albania,ALB,2016,33.7,Europe & Central Asia,4457.63412207495,2689469.0
Albania,ALB,2017,33.1,Europe & Central Asia,5006.36012951959,2648285.0
Albania,ALB,2018,30.1,Europe & Central Asia,5897.65452588774,2607733.0
Albania,ALB,2019,30.1,Europe & Central Asia,6069.43903131027,2567801.0
Albania,ALB,2020,29.4,Europe & Central Asia,6027.91350716348,2528480.0
Algeria,DZA,1988,37.4,"Middle East, North Africa, Afghanistan & Pakistan",2450.87242078961,24109536.0
Algeria,DZA,1995,35.3,"Middle East, North Africa, Afghanistan & Pakistan",1466.94806760415,28470191.0
Algeria,DZA,2011,27.6,"Middle East, North Africa, Afghanistan & Pakistan",5916.31364364343,36903376.0
Angola,AGO,2000,51.9,Sub-Saharan Africa ,563.733795571487,16194869.0
Angola,AGO,2008,42.7,Sub-Saharan Africa ,4578.15526451058,21578655.0
Angola,AGO,2018,51.3,Sub-Saharan Africa ,2891.83032378747,31297155.0
Argentina,ARG,1980,40.8,Latin America & Caribbean ,2747.5022751674,28011596.0
Argentina,ARG,1986,42.8,Latin America & Caribbean ,3436.07819471053,30811980.0
Argentina,ARG,1987,45.3,Latin America & Caribbean ,3477.30131979313,31291762.0
Argentina,ARG,1991,46.8,Latin America & Caribbean ,5709.24784079504,33230294.0
Argentina,ARG,1992,45.5,Latin America & Caribbean ,6789.99611136495,33693527.0
Argentina,ARG,1993,44.8,Latin America & Caribbean ,6931.85596375876,34152717.0
Argentina,ARG,1994,45.9,Latin America & Caribbean ,7437.56242327594,34613491.0
Argentina,ARG,1995,48.9,Latin America & Caribbean ,7357.6162773788,35070020.0
Argentina,ARG,1996,49.5,Latin America & Caribbean ,7663.21271287469,35513793.0
Argentina,ARG,1997,49.1,Latin America & Caribbean ,8146.78710021431,35947791.0
Argentina,ARG,1998,50.7,Latin America & Caribbean ,8218.99212764682,36372860.0
Argentina,ARG,1999,49.8,Latin America & Caribbean ,7705.54288252851,36794682.0
Argentina,ARG,2000,51.0,Latin America & Caribbean ,7637.01489203628,37213984.0
Argentina,ARG,2001,53.3,Latin America & Caribbean ,7141.47507662826,37624825.0
Argentina,ARG,2002,53.8,Latin America & Caribbean ,2569.69963519124,38029349.0
Argentina,ARG,2003,51.0,Latin America & Caribbean ,3320.47775133903,38424282.0
Argentina,ARG,2004,48.5,Latin America & Caribbean ,4242.02099089422,38815916.0
Argentina,ARG,2005,47.8,Latin America & Caribbean ,5067.65342293276,39216789.0
Argentina,ARG,2006,46.4,Latin America & Caribbean ,5869.38028970204,39622115.0
Argentina,ARG,2007,46.3,Latin America & Caribbean ,7185.25155147027,40016763.0
Argentina,ARG,2008,45.0,Latin America & Caribbean ,8944.1102657357,40424148.0
Argentina,ARG,2009,43.8,Latin America & Caribbean ,8150.23527028221,40854831.0
Argentina,ARG,2010,43.7,Latin America & Caribbean ,10260.1313108254,41288694.0
Argentina,ARG,2011,42.7,Latin America & Caribbean ,12704.2831819684,41730660.0
Argentina,ARG,2012,41.4,Latin America & Caribbean ,12949.717486654,42161721.0
Argentina,ARG,2013,41.1,Latin America & Caribbean ,12963.675773326,42582455.0
Argentina,ARG,2014,41.8,Latin America & Caribbean ,12233.1444119186,43024071.0
Argentina,ARG,2016,42.3,Latin America & Caribbean ,12699.9623137756,43900313.0
Argentina,ARG,2017,41.4,Latin America & Caribbean ,14532.5009308511,44288894.0
Argentina,ARG,2018,41.7,Latin America & Caribbean ,11752.7998922979,44654882.0
Argentina,ARG,2019,43.3,Latin America & Caribbean ,9955.97478680428,44973465.0
Argentina,ARG,2020,42.7,Latin America & Caribbean ,8535.59938004389,45191965.0
Argentina,ARG,2021,42.4,Latin America & Caribbean ,10738.0179223384,45312281.0
Argentina,ARG,2022,40.7,Latin America & Caribbean ,13962.1894087223,45407904.0
Argentina,ARG,2023,42.4,Latin America & Caribbean ,14261.8465667948,45538401.0
Argentina,ARG,2024,42.4,Latin America & Caribbean ,13969.7836603737,45696159.0
Armenia,ARM,1996,44.4,Europe & Central Asia,487.068624404558,3278735.0
Armenia,ARM,1999,36.2,Europe & Central Asia,582.669886150895,3167286.0
Armenia,ARM,2001,35.4,Europe & Central Asia,659.588988535629,3211800.0
Armenia,ARM,2002,34.8,Europe & Central Asia,742.651118319819,3199800.0
Armenia,ARM,2003,33.0,Europe & Central Asia,882.030167695474,3182500.0
Armenia,ARM,2004,37.5,Europe & Central Asia,1130.08791444158,3164900.0
Armenia,ARM,2005,36.0,Europe & Central Asia,1557.48458908655,3146400.0
Armenia,ARM,2006,29.7,Europe & Central Asia,2041.65267068997,3127100.0
Armenia,ARM,2007,31.2,Europe & Central Asia,2962.70234594569,3107400.0
Armenia,ARM,2008,29.2,Europe & Central Asia,3777.66859313767,3087100.0
Armenia,ARM,2009,28.0,Europe & Central Asia,2820.5926553347,3066000.0
Armenia,ARM,2010,30.0,Europe & Central Asia,3041.34450723339,3044800.0
Armenia,ARM,2011,29.4,Europe & Central Asia,3349.55309771906,3027900.0
Armenia,ARM,2012,29.6,Europe & Central Asia,3511.56399687426,3024100.0
Armenia,ARM,2013,30.6,Europe & Central Asia,3680.16692158886,3022000.0
Armenia,ARM,2014,31.5,Europe & Central Asia,3852.11800610384,3013800.0
Armenia,ARM,2015,32.4,Europe & Central Asia,3512.39350276709,3004600.0
Armenia,ARM,2016,32.5,Europe & Central Asia,3524.42476874707,2992300.0
Armenia,ARM,2017,33.6,Europe & Central Asia,3869.05373867752,2979400.0
Armenia,ARM,2018,34.4,Europe & Central Asia,4196.00562301769,2969000.0
Armenia,ARM,2019,30.0,Europe & Central Asia,4597.22887399548,2962500.0
Armenia,ARM,2020,25.1,Europe & Central Asia,4268.68093304583,2961500.0
Armenia,ARM,2021,27.9,Europe & Central Asia,4685.17997128509,2962300.0
Armenia,ARM,2022,27.9,Europe & Central Asia,6571.97445545099,2969200.0
Armenia,ARM,2023,27.2,Europe & Central Asia,8159.08720967996,2964300.0
Armenia,ARM,2024,27.4,Europe & Central Asia,8556.21406956719,3033500.0
Australia,AUS,1981,31.3,East Asia & Pacific,11870.8633077339,14923260.0
Australia,AUS,1985,32.5,East Asia & Pacific,11455.379711213,15788312.0
Australia,AUS,1989,33.2,East Asia & Pacific,17857.5520554588,16814416.0
Australia,AUS,1995,32.6,East Asia & Pacific,20479.1748274233,18004882.0
Australia,AUS,2001,33.5,East Asia & Pacific,19733.6510102645,19274701.0
Australia,AUS,2003,33.5,East Asia & Pacific,23757.5898471684,19720737.0
Australia,AUS,2004,33.1,East Asia & Pacific,30886.0500949401,19932722.0
Australia,AUS,2008,35.4,East Asia & Pacific,49811.2067218988,21249199.0
Australia,AUS,2010,34.7,East Asia & Pacific,52313.8939041213,22031750.0
Australia,AUS,2014,34.4,East Asia & Pacific,62817.2061751737,23475686.0
Australia,AUS,2016,33.7,East Asia & Pacific,50084.4440606385,24190907.0
Australia,AUS,2018,34.3,East Asia & Pacific,57410.1737346009,24963258.0
Australia,AUS,2020,33.8,East Asia & Pacific,51983.4523666382,25649248.0
Austria,AUT,1994,30.8,Europe & Central Asia,25546.2460525087,7936118.0
Austria,AUT,1995,29.9,Europe & Central Asia,30207.0674314652,7948278.0
Austria,AUT,1996,29.3,Europe & Central Asia,29645.9451251491,7959017.0
Austria,AUT,1997,29.1,Europe & Central Asia,26571.7523626508,7968041.0
Austria,AUT,1998,31.3,Europe & Central Asia,27212.4642905708,7976789.0
Austria,AUT,1999,29.7,Europe & Central Asia,27078.7081612201,7992324.0
Austria,AUT,2000,29.0,Europe & Central Asia,24487.2974685956,8011566.0
Austria,AUT,2003,29.5,Europe & Central Asia,32110.1159661425,8121423.0
Austria,AUT,2004,29.8,Europe & Central Asia,36614.2506533707,8171966.0
Austria,AUT,2005,28.7,Europe & Central Asia,38157.37022862,8227829.0
Austria,AUT,2006,29.6,Europe & Central Asia,40382.2078298575,8268641.0
Austria,AUT,2007,30.6,Europe & Central Asia,46622.9622913635,8295487.0
Austria,AUT,2008,30.4,Europe & Central Asia,51581.3982361071,8321496.0
Austria,AUT,2009,31.5,Europe & Central Asia,47857.4446635266,8343323.0
Austria,AUT,2010,30.3,Europe & Central Asia,46611.1393420232,8363404.0
Austria,AUT,2011,30.8,Europe & Central Asia,51116.8953522042,8391643.0
Austria,AUT,2012,30.5,Europe & Central Asia,48250.4059142637,8429991.0
Austria,AUT,2013,30.8,Europe & Central Asia,50305.3545774973,8479823.0
Austria,AUT,2014,30.5,Europe & Central Asia,51314.9722616322,8546356.0
Austria,AUT,2015,30.5,Europe & Central Asia,43915.228020857,8642699.0
Austria,AUT,2016,30.8,Europe & Central Asia,45061.4993920192,8736668.0
Austria,AUT,2017,29.7,Europe & Central Asia,47163.7425775142,8797566.0
Austria,AUT,2018,30.8,Europe & Central Asia,51194.0749841299,8840521.0
Austria,AUT,2019,30.2,Europe & Central Asia,49885.9947355204,8879920.0
Austria,AUT,2020,29.8,Europe & Central Asia,48716.4098900349,8916864.0
Austria,AUT,2021,30.7,Europe & Central Asia,53648.6437976214,8955797.0
